Incident Number,Day,Month,Hour,Lat,Long
16-0000001,0,Friday,0,42.2995927,-71.1017299
16-0000003,0,Friday,0,42.3832783,-71.0232279
16-0000005,0,Friday,0,42.3456805,-71.0627115
16-0000011,0,Friday,0,42.3639593,-71.0302454
16-0000013,0,Friday,0,42.3639855,-71.0604771
16-0000017,1,Friday,0,42.283508,-71.131363
16-0000019,1,Friday,0,42.2869904,-71.0417153
16-0000022,1,Friday,0,42.3504855,-71.0671764
16-0000023,1,Friday,0,42.3499029,-71.03492439
16-0000024,1,Friday,0,42.34448945,-71.09701628
16-0000027,1,Friday,0,42.3012981,-71.1125139
16-0000028,1,Friday,0,42.2723208,-71.0869953
16-0000030,1,Friday,0,42.3600431,-71.05463672
16-0000036,2,Friday,0,42.3042649,-71.0744953
16-0000039,2,Friday,0,42.304017,-71.064578
16-0000041,2,Friday,0,42.317196,-71.0649343
16-0000042,3,Friday,0,42.3511204,-71.0868025
16-0000043,3,Friday,0,42.3429019,-71.0574784
16-0000045,3,Friday,0,42.3429019,-71.0574784
16-0000051,4,Friday,0,42.313129,-71.095359
16-0000053,4,Friday,0,42.2705015,-71.1006247
16-0000056,4,Friday,0,42.3012981,-71.1125139
16-0000058,4,Friday,0,42.317196,-71.0649343
16-0000063,5,Friday,0,42.312832,-71.064752
16-0000065,5,Friday,0,42.2978534,-71.0760356
16-0000066,5,Friday,0,42.2713409,-71.1046549
16-0000073,5,Friday,0,42.3287665,-71.084102
16-0000077,6,Friday,0,42.327412,-71.080625
16-0000078,6,Friday,0,42.2408447,-71.1405529
16-0000081,6,Friday,0,42.3813322,-71.0265529
16-0000087,7,Friday,0,42.281319,-71.071045
16-0000088,7,Friday,0,42.2713823,-71.0681607
16-0000089,8,Friday,0,42.3397316,-71.070808
16-0000096,9,Friday,0,42.264174,-71.10322
16-0000100,9,Friday,0,42.2723208,-71.0869953
16-0000108,10,Friday,0,42.347664,-71.0730394
16-0000109,11,Friday,0,42.2924953,-71.0936594
16-0000110,11,Friday,0,42.2872762,-71.1303027
16-0000112,11,Friday,0,42.277696,-71.099308
16-0000115,11,Friday,0,42.3373585,-71.0824184
16-0000116,11,Friday,0,42.2973205,-71.0744952
16-0000117,12,Friday,0,42.3348931,-71.0884934
16-0000118,12,Friday,0,42.2866525,-71.1310063
16-0000120,12,Friday,0,42.3350044,-71.0885753
16-0000125,13,Friday,0,42.327818,-71.0971633
16-0000129,13,Friday,0,42.3248426,-71.0950158
16-0000130,13,Friday,0,42.330022,-71.078211
16-0000131,13,Friday,0,41.2633887,-81.5595627
16-0000132,13,Friday,0,42.3832783,-71.0232279
16-0000133,13,Friday,0,42.3529947,-71.0646278
16-0000135,14,Friday,0,42.3587085,-71.067829
16-0000136,14,Friday,0,42.9908333,-80.2705126
16-0000142,14,Friday,0,42.3436979,-71.0973964
16-0000143,15,Friday,0,42.3387682,-71.0747191
16-0000144,15,Friday,0,42.36595515,-71.03244754
16-0000145,15,Friday,0,42.3403012,-71.1009623
16-0000150,16,Friday,0,42.313129,-71.095359
16-0000152,16,Friday,0,42.3350044,-71.0885753
16-0000155,16,Friday,0,42.351771,-71.070969
16-0000160,16,Friday,0,42.3248426,-71.0950158
16-0000161,16,Friday,0,42.34855,-71.0755607
16-0000165,17,Friday,0,42.246978,-71.121497
16-0000171,17,Friday,0,42.373003,-71.041188
16-0000175,17,Friday,0,42.34295755,-71.08934658
16-0000176,18,Friday,0,42.347533,-71.075108
16-0000177,18,Friday,0,42.3417436,-71.0906399
16-0000188,19,Friday,0,42.3017579,-71.0615654
16-0000191,20,Friday,0,42.3397131,-71.0558619
16-0000195,20,Friday,0,42.3357813,-71.0999755
16-0000197,20,Friday,0,42.332657,-71.027168
16-0000204,21,Friday,0,42.3432437,-71.0644988
16-0000206,21,Friday,0,42.3436979,-71.0973964
16-0000209,21,Friday,0,42.2715135,-71.0642083
16-0000214,22,Friday,0,42.344198,-71.068618
16-0000219,23,Friday,0,42.290356,-71.167967
16-0000224,23,Friday,0,42.33362075,-71.07262103
16-0000231,0,Saturday,0,42.3299,-71.079064
16-0000232,0,Saturday,0,42.306269,-71.078567
16-0000236,0,Saturday,0,42.305038,-71.110102
16-0000239,0,Saturday,0,42.322527,-71.088543
16-0000243,1,Saturday,0,42.33568,-71.10604363
16-0000244,1,Saturday,0,42.34855,-71.0755607
16-0000245,1,Saturday,0,42.3248426,-71.0950158
16-0000248,1,Saturday,0,42.286867,-71.088508
16-0000258,5,Saturday,0,42.27874,-71.079765
16-0000259,5,Saturday,0,42.3604823,-71.0595678
16-0000260,5,Saturday,0,42.3604823,-71.0595678
16-0000261,5,Saturday,0,42.3672928,-71.0692326
16-0000263,6,Saturday,0,42.9908333,-80.2705126
16-0000264,6,Saturday,0,42.333268,-71.053694
16-0000277,9,Saturday,0,42.358606,-71.065076
16-0000279,9,Saturday,0,42.347664,-71.0730394
16-0000281,9,Saturday,0,42.9908333,-80.2705126
16-0000285,9,Saturday,0,42.347664,-71.0730394
16-0000288,10,Saturday,0,42.3319603,-71.1120478
16-0000290,10,Saturday,0,41.397606,-96.209458
16-0000293,10,Saturday,0,42.3459398,-71.024938
16-0000297,11,Saturday,0,42.26796,-71.106508
16-0000310,12,Saturday,0,42.290743,-71.085028
16-0000311,12,Saturday,0,42.3429019,-71.0574784
16-0000316,12,Saturday,0,42.3573374,-71.0549013
16-0000317,12,Saturday,0,42.3350044,-71.0885753
16-0000319,13,Saturday,0,42.237462,-71.126633
16-0000325,13,Saturday,0,42.3594422,-71.0556378
16-0000326,13,Saturday,0,42.330527,-71.080332
16-0000328,13,Saturday,0,42.315513,-71.098269
16-0000329,14,Saturday,0,42.3416526,-71.0572844
16-0000331,14,Saturday,0,42.32677425,-71.10999243
16-0000333,14,Saturday,0,42.341473,-71.074713
16-0000342,15,Saturday,0,42.256855,-71.127738
16-0000348,16,Saturday,0,42.3501019,-71.0596026
16-0000349,16,Saturday,0,42.2713409,-71.1046549
16-0000352,17,Saturday,0,42.313129,-71.095359
16-0000357,18,Saturday,0,42.290023,-71.066874
16-0000358,18,Saturday,0,42.302704,-71.066014
16-0000359,18,Saturday,0,42.3350044,-71.0885753
16-0000364,18,Saturday,0,42.262002,-71.112383
16-0000371,19,Saturday,0,42.313129,-71.095359
16-0000372,19,Saturday,0,42.3582926,-71.0602525
16-0000375,19,Saturday,0,42.3624825,-71.0577527
16-0000376,19,Saturday,0,42.3600431,-71.05463672
16-0000379,19,Saturday,0,42.3653751,-71.0675513
16-0000381,19,Saturday,0,42.376652,-71.036256
16-0000386,20,Saturday,0,42.3582926,-71.0602525
16-0000392,20,Saturday,0,42.2746,-71.078913
16-0000396,21,Saturday,0,41.397606,-96.209458
16-0000399,22,Saturday,0,42.3832783,-71.0232279
16-0000401,22,Saturday,0,42.2713409,-71.1046549
16-0000404,22,Saturday,0,42.306269,-71.078567
16-0000407,22,Saturday,0,42.315584,-71.075024
16-0000410,23,Saturday,0,42.2816251,-71.0731554
16-0000411,23,Saturday,0,42.318584,-71.087679
16-0000415,23,Saturday,0,42.328017,-71.0549687
16-0000418,0,Sunday,0,42.3334312,-71.0439392
16-0000419,0,Sunday,0,42.3501019,-71.0596026
16-0000420,0,Sunday,0,42.319571,-71.064202
16-0000422,0,Sunday,0,42.3481247,-71.0611242
16-0000423,0,Sunday,0,42.313129,-71.095359
16-0000428,2,Sunday,0,42.27874,-71.079765
16-0000429,2,Sunday,0,42.3500548,-71.0774775
16-0000435,3,Sunday,0,41.3831566,-71.641729
16-0000441,5,Sunday,0,42.2969312,-71.1143919
16-0000445,7,Sunday,0,42.3348931,-71.0884934
16-0000447,8,Sunday,0,42.3461453,-71.0799653
16-0000449,8,Sunday,0,42.2792649,-71.1494972
16-0000453,9,Sunday,0,42.3741282,-71.0328065
16-0000458,9,Sunday,0,42.317588,-71.109815
16-0000464,10,Sunday,0,42.3335133,-71.098353
16-0000465,10,Sunday,0,42.306269,-71.078567
16-0000466,10,Sunday,0,42.317768,-71.097403
16-0000467,10,Sunday,0,42.2713823,-71.0681607
16-0000468,10,Sunday,0,42.3459398,-71.024938
16-0000469,10,Sunday,0,42.3350044,-71.0885753
16-0000471,10,Sunday,0,42.33703905,-71.07106376
16-0000472,10,Sunday,0,42.306269,-71.078567
16-0000473,10,Sunday,0,42.3199571,-71.1117076
