Incident Number,Day,Month,Hour,Lat,Long
16-0000001,0,Friday,January,42.2995927,-71.1017299
16-0000002,0,Friday,January,,
16-0000003,0,Friday,January,42.3832783,-71.0232279
16-0000004,0,Friday,January,,
16-0000005,0,Friday,January,42.3456805,-71.0627115029971
16-0000007,0,Friday,January,,
16-0000011,0,Friday,January,42.3639593,-71.0302454
16-0000013,0,Friday,January,42.3639855,-71.0604771
16-0000014,0,Friday,January,,
16-0000017,1,Friday,January,42.283508,-71.131363
16-0000019,1,Friday,January,42.2869904,-71.0417153
16-0000020,1,Friday,January,,
16-0000021,1,Friday,January,,
16-0000022,1,Friday,January,42.3504855,-71.0671764
16-0000023,1,Friday,January,42.3499029,-71.0349243936386
16-0000024,1,Friday,January,42.34448945,-71.0970162828156
16-0000025,1,Friday,January,,
16-0000027,1,Friday,January,42.3012981,-71.1125139
16-0000028,1,Friday,January,42.2723208,-71.0869953
16-0000030,1,Friday,January,42.3600431,-71.054636718502
16-0000032,2,Friday,January,14.5868586,120.9689531
16-0000033,2,Friday,January,,
16-0000034,2,Friday,January,,
16-0000035,2,Friday,January,44.104196,-72.801255
16-0000036,2,Friday,January,42.3042649,-71.0744953
16-0000037,2,Friday,January,14.2797483,120.9732905
16-0000039,2,Friday,January,42.304017,-71.064578
16-0000041,2,Friday,January,42.317196,-71.0649343
16-0000042,3,Friday,January,42.3511204,-71.0868025
16-0000043,3,Friday,January,42.3429019,-71.0574784
16-0000045,3,Friday,January,42.3429019,-71.0574784
16-0000047,3,Friday,January,,
16-0000051,4,Friday,January,42.313129,-71.095359
16-0000053,4,Friday,January,42.2705015,-71.1006247
16-0000056,4,Friday,January,42.3012981,-71.1125139
16-0000057,4,Friday,January,,
16-0000058,4,Friday,January,42.317196,-71.0649343
16-0000059,4,Friday,January,,
16-0000062,4,Friday,January,,
16-0000063,5,Friday,January,42.312832,-71.064752
16-0000065,5,Friday,January,42.2978534,-71.0760356
16-0000066,5,Friday,January,42.2713409,-71.1046549
16-0000067,5,Friday,January,,
16-0000070,5,Friday,January,,
16-0000073,5,Friday,January,42.3287665,-71.084102
16-0000075,6,Friday,January,,
16-0000076,6,Friday,January,,
16-0000077,6,Friday,January,42.327412,-71.080625
16-0000078,6,Friday,January,42.2408447,-71.1405529
16-0000080,6,Friday,January,52.9665908,-0.0425130236630048
16-0000081,6,Friday,January,42.3813322,-71.0265529
16-0000084,7,Friday,January,52.9665908,-0.0425130236630048
16-0000086,7,Friday,January,38.656738,-75.740257
16-0000087,7,Friday,January,42.281319,-71.071045
16-0000088,7,Friday,January,42.2713823,-71.0681607
16-0000089,8,Friday,January,42.3397316,-71.070808
16-0000091,8,Friday,January,,
16-0000093,8,Friday,January,,
16-0000094,9,Friday,January,,
16-0000096,9,Friday,January,42.264174,-71.10322
16-0000099,9,Friday,January,,
16-0000100,9,Friday,January,42.2723208,-71.0869953
16-0000101,9,Friday,January,,
16-0000105,10,Friday,January,,
16-0000107,10,Friday,January,14.2797483,120.9732905
16-0000108,10,Friday,January,42.347664,-71.0730394
16-0000109,11,Friday,January,42.2924953,-71.0936594
16-0000110,11,Friday,January,42.2872762,-71.1303027
16-0000112,11,Friday,January,42.277696,-71.099308
16-0000113,11,Friday,January,,
16-0000114,11,Friday,January,,
16-0000115,11,Friday,January,42.3373585,-71.0824184
16-0000116,11,Friday,January,42.2973205,-71.0744952
16-0000117,12,Friday,January,42.3348931,-71.0884934
16-0000118,12,Friday,January,42.2866525,-71.1310063
16-0000119,12,Friday,January,14.5980164,121.0975544
16-0000120,12,Friday,January,42.3350044,-71.0885753
16-0000122,12,Friday,January,33.1398875,-80.3942635
16-0000125,13,Friday,January,42.327818,-71.0971633
16-0000126,13,Friday,January,,
16-0000127,13,Friday,January,,
16-0000129,13,Friday,January,42.3248426,-71.0950158
16-0000130,13,Friday,January,42.330022,-71.078211
16-0000131,13,Friday,January,41.2633887,-81.5595627
16-0000132,13,Friday,January,42.3832783,-71.0232279
