Incident Number,Day,Month,Hour,Lat,Long
16-0028333,20,Friday,May,42.302704,-71.066014
16-0028336,20,Friday,May,,
16-0028337,20,Friday,May,42.2604243,-71.1581344
16-0028338,21,Friday,May,42.306521,-71.062901
16-0028339,21,Friday,May,42.3482674,-71.0974195
16-0028341,21,Friday,May,42.9908333,-80.2705126
16-0028342,21,Friday,May,42.3482674,-71.0974195
16-0028345,21,Friday,May,42.2834319,-71.0689393
16-0028346,21,Friday,May,,
16-0028348,22,Friday,May,,
16-0028350,22,Friday,May,42.3350044,-71.0885753
16-0028353,22,Friday,May,42.3866011,-71.0066038
16-0028354,22,Friday,May,,
16-0028357,22,Friday,May,42.32744,-71.13142
16-0028358,22,Friday,May,42.2713823,-71.0681607
16-0028359,22,Friday,May,42.292773,-71.121393
16-0028362,23,Friday,May,,
16-0028363,23,Friday,May,42.3287665,-71.084102
16-0028364,23,Friday,May,42.349579,-71.062951
16-0028365,23,Friday,May,42.32744,-71.13142
16-0028368,0,Saturday,May,42.3330188,-71.0726472
16-0028369,0,Saturday,May,,
16-0028373,1,Saturday,May,41.6850297,-72.7733413
16-0028374,1,Saturday,May,,
16-0028375,1,Saturday,May,42.3325159,-71.0718736
16-0028378,1,Saturday,May,42.287186,-71.0801765
16-0028381,1,Saturday,May,,
16-0028382,1,Saturday,May,,
16-0028384,2,Saturday,May,,
16-0028385,2,Saturday,May,42.3012981,-71.1125139
16-0028386,2,Saturday,May,42.324963,-71.112186
16-0028388,3,Saturday,May,42.3566602,-71.0503163
16-0028391,3,Saturday,May,42.3500548,-71.0774775
16-0028392,3,Saturday,May,42.315513,-71.098269
16-0028393,3,Saturday,May,42.259145,-71.128264
16-0028395,4,Saturday,May,,
16-0028396,5,Saturday,May,42.3533225,-71.0593979
16-0028398,5,Saturday,May,,
16-0028399,5,Saturday,May,,
16-0028400,5,Saturday,May,42.3484477,-71.0604701
16-0028403,6,Saturday,May,,
16-0028407,6,Saturday,May,14.2797483,120.9732905
16-0028408,7,Saturday,May,42.2816251,-71.0731554
16-0028410,7,Saturday,May,42.3604823,-71.0595678
16-0028415,8,Saturday,May,,
16-0028416,8,Saturday,May,49.2499778,-122.947166
16-0028417,8,Saturday,May,42.3771679,-71.0693622
16-0028420,9,Saturday,May,14.2797483,120.9732905
16-0028423,10,Saturday,May,38.171132,-75.620263
16-0028425,10,Saturday,May,42.290612,-71.045013
16-0028428,10,Saturday,May,42.327818,-71.0971633
16-0028430,10,Saturday,May,42.333584,-71.084336
16-0028431,10,Saturday,May,,
16-0028433,10,Saturday,May,,
16-0028434,10,Saturday,May,42.3319603,-71.1120478
16-0028435,10,Saturday,May,42.328722,-71.087694
16-0028436,11,Saturday,May,42.252331,-71.114211
16-0028437,11,Saturday,May,,
16-0028439,11,Saturday,May,42.328612,-71.090749
16-0028440,11,Saturday,May,42.3604823,-71.0595678
16-0028443,11,Saturday,May,,
16-0028444,11,Saturday,May,42.3210351,-71.1167961
16-0028445,11,Saturday,May,,
16-0028451,12,Saturday,May,42.3533225,-71.0593979
16-0028453,12,Saturday,May,,
16-0028454,12,Saturday,May,42.3316072,-71.0553599
16-0028461,13,Saturday,May,42.3325159,-71.0718736
16-0028462,13,Saturday,May,42.3264963,-71.0665839
16-0028466,13,Saturday,May,,
16-0028468,13,Saturday,May,42.3613995,-71.061958
16-0028470,14,Saturday,May,42.3329379,-71.0498082
16-0028472,14,Saturday,May,42.3467642,-71.0836627
16-0028476,14,Saturday,May,42.3480108,-71.0878034
16-0028477,14,Saturday,May,42.34052,-71.078074
16-0028478,14,Saturday,May,42.315513,-71.098269
16-0028481,15,Saturday,May,42.3535856,-71.0537968
16-0028483,15,Saturday,May,42.3392448,-71.0525002
16-0028484,15,Saturday,May,42.257412,-71.118199
16-0028485,15,Saturday,May,,
16-0028487,15,Saturday,May,42.3350044,-71.0885753
16-0028490,15,Saturday,May,,
16-0028491,15,Saturday,May,42.277008,-71.086223
16-0028495,16,Saturday,May,32.958098,-80.190048
16-0028497,16,Saturday,May,42.308936,-71.108032
16-0028498,16,Saturday,May,42.3436979,-71.0973964
16-0028500,16,Saturday,May,,
16-0028501,16,Saturday,May,42.3304274,-71.0502231
16-0028503,16,Saturday,May,,
16-0028507,17,Saturday,May,42.332001,-71.1120662
16-0028509,17,Saturday,May,42.246978,-71.121497
16-0028511,17,Saturday,May,42.3017579,-71.0615654
16-0028515,18,Saturday,May,42.3573374,-71.0549013
16-0028519,18,Saturday,May,14.2797483,120.9732905
16-0028526,19,Saturday,May,42.331381,-71.040414
16-0028527,19,Saturday,May,,
16-0028529,20,Saturday,May,42.3593398,-71.0535429
16-0028531,20,Saturday,May,,
16-0028534,20,Saturday,May,,
16-0028535,20,Saturday,May,42.323884,-71.092951
16-0028539,20,Saturday,May,42.3593398,-71.0535429
16-0028540,21,Saturday,May,40.0759005,-82.2270897
16-0028552,22,Saturday,May,42.306269,-71.078567
16-0028554,23,Saturday,May,42.329009,-71.086067
16-0028556,23,Saturday,May,42.3325281,-71.0960247
16-0028561,0,Sunday,May,42.366438,-71.057963
16-0028562,0,Sunday,May,42.378141,-71.0245065
