index,direction,parent_station,parent_station_name,route_id,stop_id,stop_lat,stop_lon,stop_name,stop_order
0,Westbound,place-lech,Lechmere,Green-B,70210,42.370772,-71.076536,Lechmere - Inbound,1
1,Westbound,place-spmnl,Science Park,Green-B,70208,42.366664,-71.067666,Science Park - Inbound,10
2,Westbound,place-north,North Station,Green-B,70206,42.365577,-71.06129,North Station - Green Line Inbound,20
3,Westbound,place-haecl,Haymarket,Green-B,70204,42.363021,-71.05829,Haymarket - Green Line Inbound,30
4,Westbound,place-gover,Government Center,Green-B,70202,42.359705,-71.059215,Government Center - Green Line Westbound,40
5,Westbound,place-pktrm,Park Street,Green-B,70196,42.35639457,-71.0624242,Park Street - Green Line - B Branch Berth,50
6,Westbound,place-boyls,Boylston,Green-B,70159,42.35302,-71.06459,Boylston - Outbound,90
7,Westbound,place-armnl,Arlington,Green-B,70157,42.351902,-71.070893,Arlington - Outbound,100
8,Westbound,place-coecl,Copley,Green-B,70155,42.349974,-71.077447,Copley - Outbound,110
9,Westbound,place-hymnl,Hynes Convention Center,Green-B,70153,42.347888,-71.087903,Hynes - Outbound,120
10,Westbound,place-kencl,Kenmore,Green-B,70151,42.348949,-71.095169,Kenmore - Outbound,130
11,Westbound,place-bland,Blandford Street,Green-B,70149,42.349293,-71.100258,Blandford Street - Outbound,140
12,Westbound,place-buest,Boston Univ. East,Green-B,70147,42.349735,-71.103889,Boston Univ East - Outbound,150
13,Westbound,place-bucen,Boston Univ. Central,Green-B,70145,42.350082,-71.106865,Boston Univ Central - Outbound,160
14,Westbound,place-buwst,Boston Univ. West,Green-B,70143,42.350941,-71.113876,Boston Univ West - Outbound,170
15,Westbound,place-stplb,Saint Paul Street,Green-B,70141,42.3512,-71.116104,Saint Paul Street - Outbound,180
16,Westbound,place-plsgr,Pleasant Street,Green-B,70139,42.351521,-71.118889,Pleasant Street - Outbound,190
17,Westbound,place-babck,Babcock Street,Green-B,70137,42.35182,-71.12165,Babcock Street - Outbound,200
18,Westbound,place-brico,Packards Corner,Green-B,70135,42.351967,-71.125031,Packards Corner - Outbound,210
19,Westbound,place-harvd,Harvard Ave.,Green-B,70131,42.350243,-71.131355,Harvard Avenue - Outbound,220
20,Westbound,place-grigg,Griggs Street,Green-B,70129,42.348545,-71.134949,Griggs Street - Outbound,230
21,Westbound,place-alsgr,Allston Street,Green-B,70127,42.348701,-71.137955,Allston Street - Outbound,240
22,Westbound,place-wrnst,Warren Street,Green-B,70125,42.348343,-71.140457,Warren Street - Outbound,250
23,Westbound,place-wascm,Washington Street,Green-B,70121,42.343864,-71.142853,Washington Street - Outbound,260
24,Westbound,place-sthld,Sutherland Road,Green-B,70117,42.341614,-71.146202,Sutherland Road - Outbound,270
25,Westbound,place-chswk,Chiswick Road,Green-B,70115,42.340805,-71.150711,Chiswick Road - Outbound,280
26,Westbound,place-chill,Chestnut Hill Ave.,Green-B,70113,42.338169,-71.15316,Chestnut Hill Avenue - Outbound,290
27,Westbound,place-sougr,South Street,Green-B,70111,42.3396,-71.157661,South Street - Outbound,300
28,Westbound,place-lake,Boston College,Green-B,70107,42.340081,-71.166769,Boston College - Outbound,310
29,Eastbound,place-lake,Boston College,Green-B,70106,42.340081,-71.166769,Boston College - Inbound,1
30,Eastbound,place-sougr,South Street,Green-B,70110,42.3396,-71.157661,South Street - Inbound,10
31,Eastbound,place-chill,Chestnut Hill Ave.,Green-B,70112,42.338169,-71.15316,Chestnut Hill Avenue - Inbound,20
32,Eastbound,place-chswk,Chiswick Road,Green-B,70114,42.340805,-71.150711,Chiswick Road - Inbound,30
33,Eastbound,place-sthld,Sutherland Road,Green-B,70116,42.341614,-71.146202,Sutherland Road - Inbound,40
34,Eastbound,place-wascm,Washington Street,Green-B,70120,42.343864,-71.142853,Washington Street - Inbound,50
35,Eastbound,place-wrnst,Warren Street,Green-B,70124,42.348343,-71.140457,Warren Street - Inbound,60
36,Eastbound,place-alsgr,Allston Street,Green-B,70126,42.348701,-71.137955,Allston Street - Inbound,70
37,Eastbound,place-grigg,Griggs Street,Green-B,70128,42.348545,-71.134949,Griggs Street - Inbound,80
38,Eastbound,place-harvd,Harvard Ave.,Green-B,70130,42.350243,-71.131355,Harvard Avenue - Inbound,90
39,Eastbound,place-brico,Packards Corner,Green-B,70134,42.351967,-71.125031,Packards Corner - Inbound,100
40,Eastbound,place-babck,Babcock Street,Green-B,70136,42.35182,-71.12165,Babcock Street - Inbound,110
41,Eastbound,place-plsgr,Pleasant Street,Green-B,70138,42.351521,-71.118889,Pleasant Street - Inbound,120
42,Eastbound,place-stplb,Saint Paul Street,Green-B,70140,42.3512,-71.116104,Saint Paul Street - Inbound,130
43,Eastbound,place-buwst,Boston Univ. West,Green-B,70142,42.350941,-71.113876,Boston Univ West - Inbound,140
44,Eastbound,place-bucen,Boston Univ. Central,Green-B,70144,42.350082,-71.106865,Boston Univ Central - Inbound,150
45,Eastbound,place-buest,Boston Univ. East,Green-B,70146,42.349735,-71.103889,Boston Univ East - Inbound,160
46,Eastbound,place-bland,Blandford Street,Green-B,70148,42.349293,-71.100258,Blandford Street - Inbound,170
47,Eastbound,place-kencl,Kenmore,Green-B,70150,42.348949,-71.095169,Kenmore - Inbound,550
48,Eastbound,place-hymnl,Hynes Convention Center,Green-B,70152,42.347888,-71.087903,Hynes - Inbound,560
49,Eastbound,place-coecl,Copley,Green-B,70154,42.349974,-71.077447,Copley - Inbound,570
50,Eastbound,place-armnl,Arlington,Green-B,70156,42.351902,-71.070893,Arlington - Inbound,580
51,Eastbound,place-boyls,Boylston,Green-B,70158,42.35302,-71.06459,Boylston - Inbound,590
52,Eastbound,place-pktrm,Park Street,Green-B,70200,42.35639457,-71.0624242,Park Street - Green Line Eastbound,600
53,Eastbound,place-gover,Government Center,Green-B,70201,42.359705,-71.059215,Government Center - Green Line Eastbound,610
54,Eastbound,place-haecl,Haymarket,Green-B,70203,42.363021,-71.05829,Haymarket - Green Line Outbound,620
55,Eastbound,place-north,North Station,Green-B,70205,42.365577,-71.06129,North Station - Green Line Outbound,630
56,Eastbound,place-spmnl,Science Park,Green-B,70207,42.366664,-71.067666,Science Park - Outbound,640
57,Eastbound,place-lech,Lechmere,Green-B,70209,42.370772,-71.076536,Lechmere - Outbound,650
58,Westbound,place-lech,Lechmere,Green-C,70210,42.370772,-71.076536,Lechmere - Inbound,1
59,Westbound,place-spmnl,Science Park,Green-C,70208,42.366664,-71.067666,Science Park - Inbound,10
60,Westbound,place-north,North Station,Green-C,70206,42.365577,-71.06129,North Station - Green Line Inbound,20
61,Westbound,place-haecl,Haymarket,Green-C,70204,42.363021,-71.05829,Haymarket - Green Line Inbound,30
62,Westbound,place-gover,Government Center,Green-C,70202,42.359705,-71.059215,Government Center - Green Line Westbound,40
63,Westbound,place-pktrm,Park Street,Green-C,70197,42.35639457,-71.0624242,Park Street - Green Line - C Branch Berth,60
64,Westbound,place-boyls,Boylston,Green-C,70159,42.35302,-71.06459,Boylston - Outbound,90
65,Westbound,place-armnl,Arlington,Green-C,70157,42.351902,-71.070893,Arlington - Outbound,100
66,Westbound,place-coecl,Copley,Green-C,70155,42.349974,-71.077447,Copley - Outbound,110
67,Westbound,place-hymnl,Hynes Convention Center,Green-C,70153,42.347888,-71.087903,Hynes - Outbound,120
68,Westbound,place-kencl,Kenmore,Green-C,70151,42.348949,-71.095169,Kenmore - Outbound,130
69,Westbound,place-kencl,Kenmore,Green-C,9070151,42.349196,-71.095826,Kenmore - Green Line Fenway/St Marys St Shuttle,130
70,Westbound,place-fenwy,Fenway,Green-C,1807,42.345394,-71.104187,Park Dr @ Fenway Station,200
71,Westbound,place-smary,Saint Marys Street,Green-C,9070211,42.346095,-71.107571,St Marys St - Green Line Westbound Shuttle,250
72,Westbound,place-smary,Saint Marys Street,Green-C,9070212,42.345892,-71.107009,St Marys St - Green Line Kenmore Shuttle,300
73,Westbound,place-kencl,Kenmore,Green-C,9070150,42.348712,-71.095526,Kenmore - Green Line Eastbound Shuttle,320
74,Westbound,place-smary,Saint Marys Street,Green-C,70211,42.345974,-71.107353,Saint Mary Street - Outbound,320
75,Westbound,place-hwsst,Hawes Street,Green-C,70213,42.344906,-71.111145,Hawes Street - Outbound,330
76,Westbound,place-kntst,Kent Street,Green-C,70215,42.344074,-71.114197,Kent Street - Outbound,340
77,Westbound,place-stpul,Saint Paul Street,Green-C,70217,42.343327,-71.116997,Saint Paul Street - Outbound,350
78,Westbound,place-cool,Coolidge Corner,Green-C,70219,42.342116,-71.121263,Coolidge Corner - Outbound,360
79,Westbound,place-sumav,Summit Ave.,Green-C,70223,42.34111,-71.12561,Summit Avenue - Outbound,370
80,Westbound,place-bndhl,Brandon Hall,Green-C,70225,42.340023,-71.129082,Brandon Hall - Outbound,380
81,Westbound,place-fbkst,Fairbanks Street,Green-C,70227,42.339725,-71.131073,Fairbanks Street - Outbound,390
82,Westbound,place-bcnwa,Washington Square,Green-C,70229,42.339394,-71.13533,Washington Square - Outbound,400
83,Westbound,place-tapst,Tappan Street,Green-C,70231,42.338459,-71.138702,Tappan Street - Outbound,410
84,Westbound,place-denrd,Dean Road,Green-C,70233,42.337807,-71.141853,Dean Road - Outbound,420
85,Westbound,place-engav,Englewood Ave.,Green-C,70235,42.336971,-71.14566,Englewood Avenue - Outbound,430
86,Westbound,place-clmnl,Cleveland Circle,Green-C,70237,42.336142,-71.149326,Cleveland Circle - Outbound,440
87,Eastbound,place-clmnl,Cleveland Circle,Green-C,70238,42.336142,-71.149326,Cleveland Circle - Inbound,180
88,Eastbound,place-engav,Englewood Ave.,Green-C,70236,42.336971,-71.14566,Englewood Avenue - Inbound,190
89,Eastbound,place-denrd,Dean Road,Green-C,70234,42.337807,-71.141853,Dean Road - Inbound,200
90,Eastbound,place-tapst,Tappan Street,Green-C,70232,42.338459,-71.138702,Tappan Street - Inbound,210
91,Eastbound,place-bcnwa,Washington Square,Green-C,70230,42.339394,-71.13533,Washington Square - Inbound,220
92,Eastbound,place-fbkst,Fairbanks Street,Green-C,70228,42.339725,-71.131073,Fairbanks Street - Inbound,230
93,Eastbound,place-bndhl,Brandon Hall,Green-C,70226,42.340023,-71.129082,Brandon Hall - Inbound,240
94,Eastbound,place-sumav,Summit Ave.,Green-C,70224,42.34111,-71.12561,Summit Avenue - Inbound,250
95,Eastbound,place-cool,Coolidge Corner,Green-C,70220,42.342116,-71.121263,Coolidge Corner - Inbound,260
96,Eastbound,place-stpul,Saint Paul Street,Green-C,70218,42.343327,-71.116997,Saint Paul Street - Inbound,270
97,Eastbound,place-kntst,Kent Street,Green-C,70216,42.344074,-71.114197,Kent Street - Inbound,280
98,Eastbound,place-hwsst,Hawes Street,Green-C,70214,42.344906,-71.111145,Hawes Street - Inbound,290
99,Eastbound,place-smary,Saint Marys Street,Green-C,70212,42.345974,-71.107353,Saint Mary Street - Inbound,300
100,Eastbound,place-kencl,Kenmore,Green-C,9070151,42.349196,-71.095826,Kenmore - Green Line Fenway/St Marys St Shuttle,300
101,Eastbound,place-fenwy,Fenway,Green-C,1807,42.345394,-71.104187,Park Dr @ Fenway Station,350
102,Eastbound,place-smary,Saint Marys Street,Green-C,9070211,42.346095,-71.107571,St Marys St - Green Line Westbound Shuttle,400
103,Eastbound,place-smary,Saint Marys Street,Green-C,9070212,42.345892,-71.107009,St Marys St - Green Line Kenmore Shuttle,450
104,Eastbound,place-kencl,Kenmore,Green-C,9070150,42.348712,-71.095526,Kenmore - Green Line Eastbound Shuttle,550
105,Eastbound,place-kencl,Kenmore,Green-C,70150,42.348949,-71.095169,Kenmore - Inbound,550
106,Eastbound,place-hymnl,Hynes Convention Center,Green-C,70152,42.347888,-71.087903,Hynes - Inbound,560
107,Eastbound,place-coecl,Copley,Green-C,70154,42.349974,-71.077447,Copley - Inbound,570
108,Eastbound,place-armnl,Arlington,Green-C,70156,42.351902,-71.070893,Arlington - Inbound,580
109,Eastbound,place-boyls,Boylston,Green-C,70158,42.35302,-71.06459,Boylston - Inbound,590
110,Eastbound,place-pktrm,Park Street,Green-C,70200,42.35639457,-71.0624242,Park Street - Green Line Eastbound,600
111,Eastbound,place-gover,Government Center,Green-C,70201,42.359705,-71.059215,Government Center - Green Line Eastbound,610
112,Eastbound,place-haecl,Haymarket,Green-C,70203,42.363021,-71.05829,Haymarket - Green Line Outbound,620
113,Eastbound,place-north,North Station,Green-C,70205,42.365577,-71.06129,North Station - Green Line Outbound,630
114,Eastbound,place-spmnl,Science Park,Green-C,70207,42.366664,-71.067666,Science Park - Outbound,640
115,Eastbound,place-lech,Lechmere,Green-C,70209,42.370772,-71.076536,Lechmere - Outbound,650
116,Westbound,place-lech,Lechmere,Green-D,70210,42.370772,-71.076536,Lechmere - Inbound,1
117,Westbound,place-spmnl,Science Park,Green-D,70208,42.366664,-71.067666,Science Park - Inbound,10
118,Westbound,place-north,North Station,Green-D,70206,42.365577,-71.06129,North Station - Green Line Inbound,20
119,Westbound,place-haecl,Haymarket,Green-D,70204,42.363021,-71.05829,Haymarket - Green Line Inbound,30
120,Westbound,place-gover,Government Center,Green-D,70202,42.359705,-71.059215,Government Center - Green Line Westbound,40
121,Westbound,place-pktrm,Park Street,Green-D,70198,42.35639457,-71.0624242,Park Street - Green Line - D Branch Berth,70
122,Westbound,place-boyls,Boylston,Green-D,70159,42.35302,-71.06459,Boylston - Outbound,90
123,Westbound,place-armnl,Arlington,Green-D,70157,42.351902,-71.070893,Arlington - Outbound,100
124,Westbound,place-coecl,Copley,Green-D,70155,42.349974,-71.077447,Copley - Outbound,110
125,Westbound,place-hymnl,Hynes Convention Center,Green-D,70153,42.347888,-71.087903,Hynes - Outbound,120
126,Westbound,place-kencl,Kenmore,Green-D,70151,42.348949,-71.095169,Kenmore - Outbound,130
127,Westbound,place-kencl,Kenmore,Green-D,9070151,42.349196,-71.095826,Kenmore - Green Line Fenway/St Marys St Shuttle,130
128,Westbound,place-fenwy,Fenway,Green-D,1807,42.345394,-71.104187,Park Dr @ Fenway Station,200
129,Westbound,place-smary,Saint Marys Street,Green-D,9070211,42.346095,-71.107571,St Marys St - Green Line Westbound Shuttle,250
130,Westbound,place-smary,Saint Marys Street,Green-D,9070212,42.345892,-71.107009,St Marys St - Green Line Kenmore Shuttle,300
131,Westbound,place-fenwy,Fenway,Green-D,9434,42.345394,-71.104187,Park Dr @ Fenway Sta,450
132,Westbound,place-kencl,Kenmore,Green-D,9070150,42.348712,-71.095526,Kenmore - Green Line Eastbound Shuttle,450
133,Westbound,place-fenwy,Fenway,Green-D,70187,42.345394,-71.104187,Fenway - Outbound,450
134,Westbound,place-longw,Longwood,Green-D,70183,42.341145,-71.110451,Longwood - Outbound,460
135,Westbound,,,Green-D,1521,42.338829,-71.107465,Brookline Ave @ Longwood Ave,460
136,Westbound,,,Green-D,1525,42.332805,-71.113834,Brookline Ave @ Pearl St,470
137,Westbound,place-bvmnl,Brookline Village,Green-D,70181,42.332774,-71.116296,Brookline Village - Outbound,470
138,Westbound,place-brkhl,Brookline Hills,Green-D,70179,42.331333,-71.126999,Brookline Hills - Outbound,480
139,Westbound,place-brkhl,Brookline Hills,Green-D,9170178,42.331504,-71.126735,Brookline Hills - Green Line Shuttle,480
140,Westbound,place-brkhl,Brookline Hills,Green-D,9070179,42.330034,-71.125599,Boylston St @ Cypress St - Green Line Fenway Shuttle,480
141,Westbound,place-bcnfd,Beaconsfield,Green-D,70177,42.335846,-71.140823,Beaconsfield - Outbound,490
142,Westbound,place-rsmnl,Reservoir,Green-D,70175,42.335027,-71.148952,Reservoir - Outbound,500
143,Westbound,place-rsmnl,Reservoir,Green-D,21917,42.335027,-71.148952,Chestnut Hill Ave @ Reservoir Busway,500
144,Westbound,,,Green-D,1540,42.32361,-71.163925,Boylston St @ Hammond St,510
145,Westbound,place-chhil,Chestnut Hill,Green-D,70173,42.326653,-71.165314,Chestnut Hill - Outbound,510
146,Westbound,place-newto,Newton Centre,Green-D,70171,42.329391,-71.192429,Newton Centre - Outbound,520
147,Westbound,place-newto,Newton Centre,Green-D,9070171,42.330073,-71.191265,Newton Centre - Green Line Newton Highlands Shuttle,520
148,Westbound,place-newtn,Newton Highlands,Green-D,9070168,42.322368,-71.205831,Newton Highlands - Green Line Newton Highlands Shuttle,530
149,Westbound,place-newtn,Newton Highlands,Green-D,70169,42.321735,-71.206116,Newton Highlands - Outbound,530
150,Westbound,place-eliot,Eliot,Green-D,70167,42.319023,-71.216713,Eliot - Outbound,540
151,Westbound,place-waban,Waban,Green-D,70165,42.325943,-71.230728,Waban - Outbound,550
152,Westbound,place-woodl,Woodland,Green-D,70163,42.333374,-71.244301,Woodland - Outbound,560
153,Westbound,place-river,Riverside,Green-D,70161,42.337059,-71.251742,Riverside - Outbound,570
154,Eastbound,place-river,Riverside,Green-D,70160,42.337059,-71.251742,Riverside - Inbound,310
155,Eastbound,place-woodl,Woodland,Green-D,70162,42.333374,-71.244301,Woodland - Inbound,320
156,Eastbound,place-waban,Waban,Green-D,70164,42.325943,-71.230728,Waban - Inbound,330
157,Eastbound,place-eliot,Eliot,Green-D,70166,42.319023,-71.216713,Eliot - Inbound,340
158,Eastbound,place-newtn,Newton Highlands,Green-D,70168,42.321735,-71.206116,Newton Highlands - Inbound,350
159,Eastbound,,,Green-D,8203,42.32183,-71.206374,Walnut St @ Lincoln St - Newton Highland Station,350
160,Eastbound,place-newto,Newton Centre,Green-D,9070170,42.329845,-71.191072,Newton Centre - Green Line Brookline Hills Shuttle,360
161,Eastbound,place-newto,Newton Centre,Green-D,70170,42.329391,-71.192429,Newton Centre - Inbound,360
162,Eastbound,place-chhil,Chestnut Hill,Green-D,70172,42.326653,-71.165314,Chestnut Hill - Inbound,370
163,Eastbound,,,Green-D,1984,42.323275,-71.163979,Boylston St @ Hammond St,370
164,Eastbound,place-rsmnl,Reservoir,Green-D,21917,42.335027,-71.148952,Chestnut Hill Ave @ Reservoir Busway,380
165,Eastbound,place-rsmnl,Reservoir,Green-D,70174,42.335027,-71.148952,Reservoir - Inbound,380
166,Eastbound,place-bcnfd,Beaconsfield,Green-D,70176,42.335846,-71.140823,Beaconsfield - Inbound,390
167,Eastbound,place-brkhl,Brookline Hills,Green-D,70178,42.331333,-71.126999,Brookline Hills - Inbound,400
168,Eastbound,place-brkhl,Brookline Hills,Green-D,9070178,42.330044,-71.126602,Boylston St @ Cypress St - Green Line Reservoir Shuttle,400
169,Eastbound,place-brkhl,Brookline Hills,Green-D,9170178,42.331504,-71.126735,Brookline Hills - Green Line Shuttle,400
170,Eastbound,,,Green-D,1556,42.332285,-71.114167,678 Brookline Ave opp Pearl St,410
171,Eastbound,place-bvmnl,Brookline Village,Green-D,70180,42.332774,-71.116296,Brookline Village - Inbound,410
172,Eastbound,place-longw,Longwood,Green-D,70182,42.341145,-71.110451,Longwood - Inbound,420
173,Eastbound,,,Green-D,1804,42.339006,-71.107116,Brookline Ave @ Longwood Ave,420
174,Eastbound,place-fenwy,Fenway,Green-D,70186,42.345394,-71.104187,Fenway - Inbound,430
175,Eastbound,place-kencl,Kenmore,Green-D,9070151,42.349196,-71.095826,Kenmore - Green Line Fenway/St Marys St Shuttle,430
176,Eastbound,place-fenwy,Fenway,Green-D,1807,42.345394,-71.104187,Park Dr @ Fenway Station,450
177,Eastbound,place-smary,Saint Marys Street,Green-D,9070211,42.346095,-71.107571,St Marys St - Green Line Westbound Shuttle,470
