,src_id,dest_id,day,time_taken
0,28,290,sunday,540.0
6,28,1016,friday,147.67949666913398
7,28,1016,monday,148.05386225093258
10,28,1016,thursday,147.67949666913398
11,28,1016,tuesday,147.67949666913398
12,28,1016,wednesday,147.67949666913398
13,28,1099,friday,75.87451415880066
14,28,1099,monday,75.93775593775594
15,28,1099,saturday,78.86792452830188
16,28,1099,sunday,86.9425763062597
17,28,1099,thursday,75.87451415880066
18,28,1099,tuesday,75.87451415880066
19,28,1099,wednesday,75.87451415880066
25,41,1048,friday,112.14545454545454
26,41,1048,monday,112.27329636916473
27,41,1048,saturday,120.0
28,41,1048,sunday,105.84070796460178
29,41,1048,thursday,112.14545454545454
30,41,1048,tuesday,112.14545454545454
31,41,1048,wednesday,112.14545454545454
32,41,1116,friday,106.23738062755798
33,41,1116,monday,106.46148340341773
34,41,1116,saturday,33.73522458628842
36,41,1116,thursday,106.23738062755798
37,41,1116,tuesday,106.23738062755798
38,41,1116,wednesday,106.23738062755798
39,53,856,friday,20.97723823975721
40,53,856,monday,22.503731714598466
43,53,856,thursday,20.97723823975721
44,53,856,tuesday,20.97723823975721
45,53,856,wednesday,20.97723823975721
46,53,1110,friday,54.44613050075873
47,53,1110,monday,57.128072445019406
48,53,1110,saturday,65.21357804125385
50,53,1110,thursday,54.44613050075873
51,53,1110,tuesday,54.44613050075873
52,53,1110,wednesday,54.44613050075873
56,58,320,sunday,86.19603859827323
63,58,1016,sunday,80.04062976130015
69,98,404,saturday,184.46540880503144
70,98,404,sunday,175.1888256595965
77,98,1016,sunday,161.2829798241076
92,128,1000,friday,120.0
93,128,1000,monday,120.0
94,128,1000,saturday,120.0
95,128,1000,sunday,120.0
96,128,1000,thursday,120.0
97,128,1000,tuesday,120.0
98,128,1000,wednesday,120.0
99,131,362,friday,173.5066887118593
100,131,362,monday,173.5066887118593
101,131,362,saturday,172.2031896042528
103,131,362,thursday,173.5066887118593
104,131,362,tuesday,173.5066887118593
105,131,362,wednesday,173.5066887118593
120,141,461,friday,239.49985114617445
121,141,461,monday,239.49985114617445
122,141,461,saturday,240.0
124,141,461,thursday,239.49985114617445
125,141,461,tuesday,239.49985114617445
126,141,461,wednesday,239.49985114617445
129,141,665,saturday,360.0
135,141,813,saturday,188.23529411764707
143,154,885,saturday,100.0889453621347
144,154,885,sunday,66.99771689497717
148,154,1179,friday,120.0
149,154,1179,monday,120.0
150,154,1179,saturday,120.0
152,154,1179,thursday,120.0
153,154,1179,tuesday,120.0
154,154,1179,wednesday,120.0
155,156,491,friday,116.62318059299191
156,156,491,monday,116.62318059299191
157,156,491,saturday,119.41550190597205
158,156,491,sunday,118.94977168949772
159,156,491,thursday,116.62318059299191
160,156,491,tuesday,116.62318059299191
161,156,491,wednesday,116.62318059299191
162,156,902,friday,129.3800539083558
163,156,902,monday,129.3800539083558
164,156,902,saturday,120.0
165,156,902,sunday,103.56164383561644
166,156,902,thursday,129.3800539083558
167,156,902,tuesday,129.3800539083558
168,156,902,wednesday,129.3800539083558
171,167,856,saturday,212.69392033542977
172,167,856,sunday,207.54267977237456
176,167,1193,friday,74.4559585492228
177,167,1193,monday,74.5537257756346
179,167,1193,sunday,60.0
180,167,1193,thursday,74.4559585492228
181,167,1193,tuesday,74.4559585492228
182,167,1193,wednesday,74.4559585492228
183,227,494,friday,137.3050075872534
184,227,494,monday,137.35695094039207
185,227,494,saturday,140.28622540250447
187,227,494,thursday,137.3050075872534
188,227,494,tuesday,137.3050075872534
189,227,494,wednesday,137.3050075872534
192,227,1110,friday,67.45834595577098
193,227,1110,monday,67.43816429919539
194,227,1110,saturday,79.40284360189574
195,227,1110,sunday,55.76480736055204
196,227,1110,thursday,67.45834595577098
197,227,1110,tuesday,67.45834595577098
198,227,1110,wednesday,67.45834595577098
199,228,249,friday,60.0
200,228,249,monday,60.0
201,228,249,saturday,60.0
202,228,249,sunday,60.0
203,228,249,thursday,60.0
204,228,249,tuesday,60.0
205,228,249,wednesday,60.0
207,228,512,sunday,60.0
209,228,1024,friday,60.0
210,228,1024,monday,60.0
211,228,1024,saturday,60.0
212,228,1024,sunday,60.0
213,228,1024,thursday,60.0
214,228,1024,tuesday,60.0
215,228,1024,wednesday,60.0
