mvmt_id,index,direction,parent_station,parent_station_name,route_id,stop_id,stop_lat,stop_lon,stop_name,stop_order
3,1218,Outbound,,,9,153,42.340642,-71.053809,W Broadway @ B St,19
3,1219,Outbound,,,9,11532,42.339673,-71.052303,W Broadway @ Linsky Barry Ct,20
3,1220,Outbound,,,9,154,42.338803,-71.050975,W Broadway @ D St,21
3,1446,Inbound,,,11,291,42.336362,-71.054006,W 7th St @ D St,23
3,1447,Inbound,,,11,292,42.337181,-71.055242,W 7th St @ C St,24
3,1448,Inbound,,,11,293,42.338194,-71.05677,W 7th @ B Street,25
4,12802,Outbound,,,429,6684,42.466571,-70.964158,Boston St @ Grove St,19
4,12803,Outbound,,,429,6685,42.466403,-70.965757,Boston St @ Moulton St,20
4,12804,Outbound,,,429,6686,42.466303,-70.967748,Boston St @ N Federal St,21
4,12805,Outbound,,,429,6687,42.465635,-70.96941,Boston St @ Kirtland St,22
4,12806,Outbound,,,429,6688,42.464835,-70.971326,Boston St @ Childs St,23
4,12807,Outbound,,,429,6689,42.464086,-70.973941,Boston St opp Cottage St,24
4,13211,Outbound,,,435,6789,42.471611,-70.965616,Bellevue Rd @ Spruce Rd,15
4,13214,Outbound,,,435,6790,42.471398,-70.966472,Bellevue Rd @ Pine Rd,16
4,13328,Inbound,,,435,6814,42.471383,-70.966672,Pine Rd @ Bellevue Rd,37
4,13329,Inbound,,,435,6815,42.471547,-70.965483,Bellevue Rd @ Spruce Rd,38
4,13331,Inbound,,,435,6816,42.472694,-70.964362,Bellevue Rd @ Lovers Leap Ave,39
13,516,Outbound,,,CR-Greenbush,Weymouth Landing/ East Braintree,42.221503,-70.968152,Weymouth Landing/East Braintree,4
13,529,Inbound,,,CR-Greenbush,Weymouth Landing/ East Braintree,42.221503,-70.968152,Weymouth Landing/East Braintree,7
13,11107,Outbound,,,225,3806,42.220904,-70.969299,Quincy Ave @ Commercial St,26
13,11162,Inbound,,,225,3711,42.219964,-70.968502,Commercial St opp Brookside Rd,25
13,11163,Inbound,,,225,3712,42.22076,-70.969189,Quincy Ave @ Commercial St,26
13,11375,Outbound,,,236,38501,42.213271,-70.988499,Middle St @ Union St,25
13,11405,Inbound,,,236,39692,42.210976,-70.994427,Union St @ Cleveland Ave,15
13,11406,Inbound,,,236,39691,42.213364,-70.988413,Middle St @ Union St,16
14,10998,Inbound,,,222,36842,42.214644,-70.914044,High St opp Nichols Rd,3
16,4834,Inbound,,,57,913,42.350405,-71.166709,Washington St @ Breck Ave,13
